332;4BIS;Gastón Silva;GRANADA CF;BASE;Nuevos IV
333;5BIS;Rubén Vezo;GRANADA CF;BASE;Nuevos IV
334;9BIS;Samper;GRANADA CF;BASE;Nuevos IV
335;10BIS;Pereira;GRANADA CF;BASE;Nuevos IV
336;11BIS;Atzili;GRANADA CF;BASE;Nuevos IV
337;16BIS;Kravets;GRANADA CF;BASE;Nuevos IV
341;1;Javi Varas;UD LAS PALMAS;BASE;Nuevos I
342;2;Raúl Lizoain;UD LAS PALMAS;BASE;Nuevos I
343;3;David Simón;UD LAS PALMAS;BASE;Nuevos I
344;4A;Lemos;UD LAS PALMAS;BASE;Nuevos I
345;4B;David García;UD LAS PALMAS;BASE;Nuevos I
346;5;Aythami;UD LAS PALMAS;BASE;Nuevos I
347;6;Bigas;UD LAS PALMAS;BASE;Nuevos I
348;7;Dani Castellano;UD LAS PALMAS;BASE;Nuevos I
349;8A;Roque;UD LAS PALMAS;BASE;Nuevos I
350;8B;Javi Castellano;UD LAS PALMAS;BASE;Nuevos I
351;9;Hernán;UD LAS PALMAS;BASE;Nuevos I
352;10;Montoro;UD LAS PALMAS;BASE;Nuevos I
353;11;Vicente Gómez;UD LAS PALMAS;BASE;Nuevos I
354;12;El Zhar;UD LAS PALMAS;BASE;Nuevos I
355;13;Momo;UD LAS PALMAS;BASE;Nuevos I
356;14;Tana;UD LAS PALMAS;BASE;Nuevos I
357;15;Jonathan Viera;UD LAS PALMAS;BASE;Nuevos I
358;16;Araujo;UD LAS PALMAS;BASE;Nuevos I
359;3BIS;Michel;UD LAS PALMAS;BASE;Nuevos III
371;1;Serantes;CD LEGANÉS;BASE;Nuevos I
372;2;Brignoli;CD LEGANÉS;BASE;Nuevos II
373;3A;Víctor Díaz;CD LEGANÉS;BASE;Nuevos I
374;3B;Adrián Marín;CD LEGANÉS;BASE;Nuevos III
375;4;Bustinza;CD LEGANÉS;BASE;Nuevos II
376;5;Mantovani;CD LEGANÉS;BASE;Nuevos I
377;6;Insua;CD LEGANÉS;BASE;Nuevos I
378;7;Medjani;CD LEGANÉS;BASE;Nuevos III
379;8;Alberto Martín;CD LEGANÉS;BASE;Nuevos I
380;9;Sastre;CD LEGANÉS;BASE;Nuevos I
381;10;Timor;CD LEGANÉS;BASE;Nuevos I
382;11;Rubén Pérez;CD LEGANÉS;BASE;Nuevos III
383;12;Gabriel;CD LEGANÉS;BASE;Nuevos I
384;13;Omar Ramos;CD LEGANÉS;BASE;Nuevos I
385;14;Unai López;CD LEGANÉS;BASE;Nuevos III
386;15;Guerrero;CD LEGANÉS;BASE;Nuevos I
387;16;Szymanowski;CD LEGANÉS;BASE;Nuevos I
388;6BIS;Diego Rico;CD LEGANÉS;BASE;Nuevos IV
389;13BIS;Robert;CD LEGANÉS;BASE;Nuevos IV
390;14BIS;Luciano;CD LEGANÉS;BASE;Nuevos IV
401;1;Keylor Navas;REAL MADRID;BASE;Nuevos I
402;2;Casilla;REAL MADRID;BASE;Nuevos I
403;3A;Carvajal;REAL MADRID;BASE;Nuevos I
404;3B;Danilo;REAL MADRID;BASE;Nuevos I
405;4;Pepe;REAL MADRID;BASE;Nuevos I
406;5;Sergio Ramos;REAL MADRID;BASE;Nuevos I
407;6A;Varane;REAL MADRID;BASE;Nuevos I
408;6B;Nacho;REAL MADRID;BASE;Nuevos I
409;7;Marcelo;REAL MADRID;BASE;Nuevos I
410;8;Casemiro;REAL MADRID;BASE;Nuevos I
411;9;Kroos;REAL MADRID;BASE;Nuevos I
412;10;Modric;REAL MADRID;BASE;Nuevos I
